'Pb','Fe','In','Brass','Nb','Au','V','Ag','Zn','Zr','Ti','Rh','Ni','W','U','Cu'
'Feb1','Jan30','Feb1','Feb6','Feb1','Feb15','Feb6','Feb15','Jan30','Feb1', 'Feb1','Feb15','Feb15','Feb15','Jan30','Jan30'
26,1,34,43,1501,7,9,18,11,54,30,58,8,9,5,8
18,2,25,46,1999,2,16,14,9,58,24,56,8,3,12,8
20,1,29,36,2565,7,9,17,9,51,25,56,9,7,7,4
19,1,25,32,3203,8,10,14,14,51,9,64,7,5,17,8
29,2,25,38,3901,3,11,14,11,51,19,58,3,9,19,12
15,0,21,33,4602,5,13,19,16,65,18,72,5,7,21,6
15,1,24,32,4950,9,9,19,12,51,15,67,9,4,20,7
17,0,26,31,4933,17,8,16,12,63,13,80,5,6,23,5
21,0,21,38,4654,6,7,21,15,58,10,74,7,4,25,8
17,0,25,23,3997,5,4,26,11,54,16,83,7,9,20,5
10,1,22,23,3164,8,11,26,9,57,13,73,9,12,31,11
18,0,29,34,2358,8,13,25,12,73,14,87,11,10,22,8
15,0,27,27,1593,12,12,18,7,55,16,79,4,9,20,12
14,3,18,18,1134,5,12,13,13,55,10,105,3,9,27,7
23,0,20,33,769,8,15,16,16,55,16,96,5,11,36,15
24,1,33,27,543,5,8,17,13,74,17,117,5,10,37,6
17,2,28,45,413,10,8,24,23,43,16,90,8,14,23,6
22,0,24,34,366,9,4,16,11,51,19,111,10,8,34,7
28,1,40,47,292,6,10,19,15,53,16,110,8,9,30,4
13,1,39,48,215,3,9,13,14,65,26,122,5,9,30,6
27,1,39,33,203,6,7,16,26,59,19,141,3,8,31,5
25,1,46,36,192,11,6,13,12,54,15,144,8,18,29,7
28,3,48,27,162,5,6,16,15,64,19,146,11,9,24,5
27,1,36,33,192,10,4,14,17,86,20,182,7,8,18,9
34,0,44,26,197,5,7,14,17,86,18,240,9,13,21,10
30,1,44,27,202,6,11,16,28,117,13,319,11,11,19,12
18,2,40,11,200,14,3,17,20,122,14,411,9,9,15,17
15,1,33,9,271,12,7,19,22,160,18,519,9,10,12,12
24,1,28,7,320,15,3,26,18,207,20,697,10,10,25,9
30,2,37,10,385,7,7,22,16,343,21,911,10,8,13,9
28,3,24,5,445,12,3,18,21,463,17,1134,11,11,24,12
21,2,27,11,411,10,3,24,19,658,12,1353,7,15,17,7
27,5,31,9,442,9,8,18,19,847,11,1598,9,11,18,8
17,2,34,8,414,10,3,31,17,996,11,1636,11,11,16,5
22,3,25,7,376,14,3,28,23,933,14,1759,13,11,18,4
21,5,18,7,315,9,6,32,24,892,20,1707,7,9,18,6
12,3,25,4,279,12,5,29,19,775,11,1789,5,9,5,2
16,2,20,6,229,14,4,15,11,566,9,2030,8,7,11,2
19,2,17,3,185,14,3,27,19,418,17,2150,17,9,6,3
21,1,29,6,148,10,9,34,21,280,8,2263,8,8,4,1
25,7,28,4,145,15,5,27,11,258,7,2133,6,10,7,1
19,1,27,4,141,16,6,23,13,192,8,2080,9,5,6,0
22,3,24,9,149,18,4,42,9,152,11,1700,8,13,10,7
21,4,31,9,130,12,5,26,5,115,9,1438,13,12,6,1
23,3,25,8,111,14,7,32,13,100,12,1144,13,17,5,1
21,3,28,7,135,15,8,39,10,60,10,930,10,10,8,3
14,5,21,11,151,10,10,40,11,42,11,720,15,11,5,0
24,4,32,6,166,7,6,38,5,24,6,586,9,14,7,0
17,4,31,6,200,10,4,54,5,26,14,475,23,9,3,0
19,4,34,3,292,13,3,59,5,29,10,359,13,17,1,4
18,5,26,5,338,15,5,50,10,18,4,295,9,10,5,1
